model,reaction,lb,ub,subsystem,gpr
iML1515,DM_4crsol_c,0.0,1000.0,,
iML1515,DM_aacald_c,0.0,1000.0,,
iML1515,DM_amob_c,0.0,1000.0,,
iML1515,BIOMASS_Ec_iJO1366_core_53p95M,0.0,1000.0,,
iML1515,EX_12ppd__S_e,0.0,1000.0,,
iML1515,EX_15dap_e,0.0,1000.0,,
iML1515,EX_23dappa_e,0.0,1000.0,,
iML1515,EX_26dap__M_e,0.0,1000.0,,
iML1515,EX_34dhpac_e,0.0,1000.0,,
iML1515,EX_3amp_e,0.0,1000.0,,
iML1515,EX_3gmp_e,0.0,1000.0,,
iML1515,EX_3hcinnm_e,0.0,1000.0,,
iML1515,EX_3hpp_e,0.0,1000.0,,
iML1515,EX_3ump_e,0.0,1000.0,,
iML1515,EX_5dglcn_e,0.0,1000.0,,
iML1515,EX_LalaDglu_e,0.0,1000.0,,
iML1515,EX_LalaDgluMdap_e,0.0,1000.0,,
iML1515,EX_acgal_e,0.0,1000.0,,
iML1515,EX_acgal1p_e,0.0,1000.0,,
iML1515,EX_acgam_e,0.0,1000.0,,
iML1515,EX_acmana_e,0.0,1000.0,,
iML1515,EX_ade_e,0.0,1000.0,,
iML1515,EX_adn_e,0.0,1000.0,,
iML1515,EX_ag_e,0.0,1000.0,,
iML1515,EX_agm_e,0.0,1000.0,,
iML1515,EX_ala_B_e,0.0,1000.0,,
iML1515,EX_alaala_e,0.0,1000.0,,
iML1515,EX_all__D_e,0.0,1000.0,,
iML1515,EX_amp_e,0.0,1000.0,,
iML1515,EX_anhgm_e,0.0,1000.0,,
iML1515,EX_arab__L_e,0.0,1000.0,,
iML1515,EX_arbt_e,0.0,1000.0,,
iML1515,EX_arbtn_e,0.0,1000.0,,
iML1515,EX_arbtn_fe3_e,0.0,1000.0,,
iML1515,EX_ascb__L_e,0.0,1000.0,,
iML1515,EX_asn__L_e,0.0,1000.0,,
iML1515,EX_aso3_e,0.0,1000.0,,
iML1515,EX_asp__L_e,0.0,1000.0,,
iML1515,EX_btn_e,0.0,1000.0,,
iML1515,EX_ca2_e,0.0,1000.0,,
iML1515,EX_chtbs_e,0.0,1000.0,,
iML1515,EX_cl_e,0.0,1000.0,,
iML1515,EX_cmp_e,0.0,1000.0,,
iML1515,EX_co2_e,0.0,1000.0,,
iML1515,EX_colipa_e,0.0,1000.0,,
iML1515,EX_cpgn_e,0.0,1000.0,,
iML1515,EX_cpgn_un_e,0.0,1000.0,,
iML1515,EX_crn__D_e,0.0,1000.0,,
iML1515,EX_cu_e,0.0,1000.0,,
iML1515,EX_cu2_e,0.0,1000.0,,
iML1515,EX_cyan_e,0.0,1000.0,,
iML1515,EX_cys__D_e,0.0,1000.0,,
iML1515,EX_cys__L_e,0.0,1000.0,,
iML1515,EX_cytd_e,0.0,1000.0,,
iML1515,EX_dad_2_e,0.0,1000.0,,
iML1515,EX_damp_e,0.0,1000.0,,
iML1515,EX_ddca_e,0.0,1000.0,,
iML1515,EX_dgsn_e,0.0,1000.0,,
iML1515,EX_dha_e,0.0,1000.0,,
iML1515,EX_din_e,0.0,1000.0,,
iML1515,EX_dmso_e,0.0,1000.0,,
iML1515,EX_doxrbcn_e,0.0,1000.0,,
iML1515,EX_dump_e,0.0,1000.0,,
iML1515,EX_enlipa_e,0.0,1000.0,,
iML1515,EX_enter_e,0.0,1000.0,,
iML1515,EX_ethso3_e,0.0,1000.0,,
iML1515,EX_fald_e,0.0,1000.0,,
iML1515,EX_fe2_e,0.0,1000.0,,
iML1515,EX_fe3_e,0.0,1000.0,,
iML1515,EX_fe3dcit_e,0.0,1000.0,,
iML1515,EX_fe3hox_e,0.0,1000.0,,
iML1515,EX_fecrm_e,0.0,1000.0,,
iML1515,EX_fecrm_un_e,0.0,1000.0,,
iML1515,EX_feenter_e,0.0,1000.0,,
iML1515,EX_frulys_e,0.0,1000.0,,
iML1515,EX_g3pc_e,0.0,1000.0,,
iML1515,EX_g3ps_e,0.0,1000.0,,
iML1515,EX_g6p_e,0.0,1000.0,,
iML1515,EX_gal_e,0.0,1000.0,,
iML1515,EX_gal_bD_e,0.0,1000.0,,
iML1515,EX_gal1p_e,0.0,1000.0,,
iML1515,EX_galct__D_e,0.0,1000.0,,
iML1515,EX_galctn__L_e,0.0,1000.0,,
iML1515,EX_gam_e,0.0,1000.0,,
iML1515,EX_gam6p_e,0.0,1000.0,,
iML1515,EX_gbbtn_e,0.0,1000.0,,
iML1515,EX_gdp_e,0.0,1000.0,,
iML1515,EX_glcr_e,0.0,1000.0,,
iML1515,EX_glyald_e,0.0,1000.0,,
iML1515,EX_glyc__R_e,0.0,1000.0,,
iML1515,EX_glyc3p_e,0.0,1000.0,,
iML1515,EX_gmp_e,0.0,1000.0,,
iML1515,EX_gsn_e,0.0,1000.0,,
iML1515,EX_gthox_e,0.0,1000.0,,
iML1515,EX_gua_e,0.0,1000.0,,
iML1515,EX_h2_e,0.0,1000.0,,
iML1515,EX_h2o2_e,0.0,1000.0,,
iML1515,EX_hacolipa_e,0.0,1000.0,,
iML1515,EX_halipa_e,0.0,1000.0,,
iML1515,EX_hdca_e,0.0,1000.0,,
iML1515,EX_idon__L_e,0.0,1000.0,,
iML1515,EX_indole_e,0.0,1000.0,,
iML1515,EX_inost_e,0.0,1000.0,,
iML1515,EX_ins_e,0.0,1000.0,,
iML1515,EX_isetac_e,0.0,1000.0,,
iML1515,EX_k_e,0.0,1000.0,,
iML1515,EX_lac__L_e,0.0,1000.0,,
iML1515,EX_lipoate_e,0.0,1000.0,,
iML1515,EX_lyx__L_e,0.0,1000.0,,
iML1515,EX_malthx_e,0.0,1000.0,,
iML1515,EX_malttr_e,0.0,1000.0,,
iML1515,EX_maltttr_e,0.0,1000.0,,
iML1515,EX_melib_e,0.0,1000.0,,
iML1515,EX_met__L_e,0.0,1000.0,,
iML1515,EX_metsox_S__L_e,0.0,1000.0,,
iML1515,EX_mnl_e,0.0,1000.0,,
iML1515,EX_mso3_e,0.0,1000.0,,
iML1515,EX_n2o_e,0.0,1000.0,,
iML1515,EX_na1_e,0.0,1000.0,,
iML1515,EX_nac_e,0.0,1000.0,,
iML1515,EX_no_e,0.0,1000.0,,
iML1515,EX_no2_e,0.0,1000.0,,
iML1515,EX_no3_e,0.0,1000.0,,
iML1515,EX_o16a4colipa_e,0.0,1000.0,,
iML1515,EX_ocdcea_e,0.0,1000.0,,
iML1515,EX_orot_e,0.0,1000.0,,
iML1515,EX_pacald_e,0.0,1000.0,,
iML1515,EX_pheme_e,0.0,1000.0,,
iML1515,EX_pnto__R_e,0.0,1000.0,,
iML1515,EX_ppa_e,0.0,1000.0,,
iML1515,EX_ppal_e,0.0,1000.0,,
iML1515,EX_pppn_e,0.0,1000.0,,
iML1515,EX_progly_e,0.0,1000.0,,
iML1515,EX_pser__L_e,0.0,1000.0,,
iML1515,EX_ptrc_e,0.0,1000.0,,
iML1515,EX_pydam_e,0.0,1000.0,,
iML1515,EX_pydx_e,0.0,1000.0,,
iML1515,EX_pyr_e,0.0,1000.0,,
iML1515,EX_rmn_e,0.0,1000.0,,
iML1515,EX_sbt__D_e,0.0,1000.0,,
iML1515,EX_sel_e,0.0,1000.0,,
iML1515,EX_ser__D_e,0.0,1000.0,,
iML1515,EX_skm_e,0.0,1000.0,,
iML1515,EX_so3_e,0.0,1000.0,,
iML1515,EX_so4_e,0.0,1000.0,,
iML1515,EX_spmd_e,0.0,1000.0,,
iML1515,EX_sulfac_e,0.0,1000.0,,
iML1515,EX_taur_e,0.0,1000.0,,
iML1515,EX_thm_e,0.0,1000.0,,
iML1515,EX_thr__L_e,0.0,1000.0,,
iML1515,EX_tmao_e,0.0,1000.0,,
iML1515,EX_ttdca_e,0.0,1000.0,,
iML1515,EX_ttrcyc_e,0.0,1000.0,,
iML1515,EX_tym_e,0.0,1000.0,,
iML1515,EX_tyr__L_e,0.0,1000.0,,
iML1515,EX_tyrp_e,0.0,1000.0,,
iML1515,EX_udpacgal_e,0.0,1000.0,,
iML1515,EX_udpg_e,0.0,1000.0,,
iML1515,EX_urea_e,0.0,1000.0,,
iML1515,EX_uri_e,0.0,1000.0,,
iML1515,EX_val__L_e,0.0,1000.0,,
iML1515,EX_xan_e,0.0,1000.0,,
iML1515,EX_xmp_e,0.0,1000.0,,
iML1515,EX_xtsn_e,0.0,1000.0,,
iML1515,EX_xyl__D_e,0.0,1000.0,,
iML1515,EX_zn2_e,0.0,1000.0,,
iML1515,12DGR120tipp,0.0,1000.0,,
iML1515,12DGR140tipp,0.0,1000.0,,
iML1515,12DGR161tipp,0.0,1000.0,,
iML1515,12DGR180tipp,0.0,1000.0,,
iML1515,12DGR181tipp,0.0,1000.0,,
iML1515,12PPDStex,0.0,1000.0,,
iML1515,14GLUCANabcpp,0.0,1000.0,,
iML1515,23CCMPtex,0.0,1000.0,,
iML1515,23CGMPtex,0.0,1000.0,,
iML1515,23PDE2pp,0.0,1000.0,,
iML1515,23PDE9pp,0.0,1000.0,,
iML1515,2AGPA120tipp,0.0,1000.0,,
iML1515,2AGPA140tipp,0.0,1000.0,,
iML1515,2AGPA180tipp,0.0,1000.0,,
iML1515,2AGPA181tipp,0.0,1000.0,,
iML1515,2AGPE140tipp,0.0,1000.0,,
iML1515,2AGPE141tipp,0.0,1000.0,,
iML1515,2AGPEAT141,0.0,1000.0,,
iML1515,2AGPG160tipp,0.0,1000.0,,
iML1515,2AGPG161tipp,0.0,1000.0,,
iML1515,2AGPG180tipp,0.0,1000.0,,
iML1515,2AGPG181tipp,0.0,1000.0,,
iML1515,2AGPGAT120,0.0,1000.0,,
iML1515,2AGPGAT141,0.0,1000.0,,
iML1515,2AGPGAT160,0.0,1000.0,,
iML1515,2AGPGAT180,0.0,1000.0,,
iML1515,2DGULRGx,0.0,1000.0,,
iML1515,2DGULRx,0.0,1000.0,,
iML1515,2MAHMP,0.0,1000.0,,
iML1515,3AMPtex,0.0,1000.0,,
iML1515,3GMPtex,0.0,1000.0,,
iML1515,3HAD121,0.0,1000.0,,
iML1515,3HAD160,0.0,1000.0,,
iML1515,3HAD161,0.0,1000.0,,
iML1515,3HAD180,0.0,1000.0,,
iML1515,3HAD80,0.0,1000.0,,
iML1515,3HPPtex,0.0,1000.0,,
iML1515,3HPPtpp,0.0,1000.0,,
iML1515,3KGK,0.0,1000.0,,
iML1515,3NTD2pp,0.0,1000.0,,
iML1515,3NTD9pp,0.0,1000.0,,
iML1515,3OAR120,0.0,1000.0,,
iML1515,3OAR121,0.0,1000.0,,
iML1515,3OAR141,0.0,1000.0,,
iML1515,3OAR160,0.0,1000.0,,
iML1515,3OAR161,0.0,1000.0,,
iML1515,3OAR180,0.0,1000.0,,
iML1515,3OAS100,0.0,1000.0,,
iML1515,3OAS120,0.0,1000.0,,
iML1515,3OAS140,0.0,1000.0,,
iML1515,3OAS161,0.0,1000.0,,
iML1515,3OAS60,0.0,1000.0,,
iML1515,3PEPTabcpp,0.0,1000.0,,
iML1515,3UMPtex,0.0,1000.0,,
iML1515,4HTHRS,0.0,1000.0,,
iML1515,5DGLCNt2rpp,0.0,1000.0,,
iML1515,5DOAN,0.0,1000.0,,
iML1515,5MTRtex,0.0,1000.0,,
iML1515,5MTRtpp,0.0,1000.0,,
