,fluxes
EX_photon_e,-0.6740606105290036
EX_tsul_e,-0.009440701888194602
EX_pi_e,-0.009427339793839341
EX_nh4_e,-0.005330111246191255
EX_fe2_e,-0.0007214685541357425
EX_mg2_e,-1.9607550100709803e-05
EX_fol_e,-9.56408541391074e-08
EX_ala_B_e,-5.206198418701722e-08
EX_pant__R_e,-5.206198418701722e-08
EX_pydxn_e,-1.9738305442364865e-08
EX_biotin_e,-3.008131822015708e-09
EX_co_e,2.640239663233809e-07
EX_1acpc_e,0.000155795867748877
EX_but_e,0.0007836247557706654
EX_chor_e,0.0019704751547133803
EX_o2_e,0.002260077460656469
EX_CPD-14927_e,0.002994340484857505
EX_34hpp_e,0.012950495386572442
EX_tcynt_e,0.018747292115020023
EX_co2_e,0.028785498016061214
EX_h2o_e,0.12325219112861599
