## Tue Jul 25 18:41:47 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_uoold71p --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_uoold71p --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_uoold71p/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
TARA_ARC_108_MAG_00083_000000000001_1	52598.EE36_14487	8.79e-59	185.0	COG0440@1|root,COG0440@2|Bacteria,1RAGN@1224|Proteobacteria,2U5CW@28211|Alphaproteobacteria,3ZVPU@60136|Sulfitobacter	28211|Alphaproteobacteria	E	acetolactate synthase	ilvH	-	2.2.1.6	ko:K01653	ko00290,ko00650,ko00660,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00650,map00660,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R00006,R00014,R00226,R03050,R04672,R04673,R08648	RC00027,RC00106,RC01192,RC02744,RC02893	ko00000,ko00001,ko00002,ko01000	-	-	-	ACT,ACT_5,ALS_ss_C
TARA_ARC_108_MAG_00083_000000000001_2	52598.EE36_14492	0.0	1137.0	COG0028@1|root,COG0028@2|Bacteria,1MU6U@1224|Proteobacteria,2TR1I@28211|Alphaproteobacteria,3ZW4W@60136|Sulfitobacter	28211|Alphaproteobacteria	E	Thiamine pyrophosphate enzyme, central domain	ilvI	-	2.2.1.6	ko:K01652	ko00290,ko00650,ko00660,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00650,map00660,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R00006,R00014,R00226,R03050,R04672,R04673,R08648	RC00027,RC00106,RC01192,RC02744,RC02893	ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N
TARA_ARC_108_MAG_00083_000000000001_3	52598.EE36_14497	1.86e-138	393.0	COG2197@1|root,COG2197@2|Bacteria,1MWGM@1224|Proteobacteria,2U0JP@28211|Alphaproteobacteria,3ZWRH@60136|Sulfitobacter	28211|Alphaproteobacteria	T	helix_turn_helix, Lux Regulon	nreC	-	-	ko:K02479,ko:K07684	ko02020,map02020	M00471	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	GerE,Response_reg
TARA_ARC_108_MAG_00083_000000000001_4	52598.EE36_14502	4.45e-309	845.0	COG4564@1|root,COG4564@2|Bacteria,1QTY1@1224|Proteobacteria,2TVYD@28211|Alphaproteobacteria,3ZWAP@60136|Sulfitobacter	28211|Alphaproteobacteria	T	Cache_2	degS	-	2.7.13.3	ko:K02480	-	-	-	-	ko00000,ko01000,ko01001,ko02022	-	-	-	HATPase_c,HisKA_3,sCache_2
TARA_ARC_108_MAG_00083_000000000001_5	52598.EE36_14507	1.57e-258	709.0	COG4663@1|root,COG4663@2|Bacteria,1MVMD@1224|Proteobacteria,2TS4J@28211|Alphaproteobacteria,3ZV6N@60136|Sulfitobacter	28211|Alphaproteobacteria	Q	Part of the tripartite ATP-independent periplasmic (TRAP) transport system	-	-	-	-	-	-	-	-	-	-	-	-	DctP
TARA_ARC_108_MAG_00083_000000000001_6	52598.EE36_14512	1.57e-231	637.0	COG4665@1|root,COG4665@2|Bacteria,1MVFC@1224|Proteobacteria,2TTID@28211|Alphaproteobacteria,3ZV8T@60136|Sulfitobacter	28211|Alphaproteobacteria	Q	C4-dicarboxylate ABC transporter permease	-	-	-	-	-	-	-	-	-	-	-	-	DctQ
TARA_ARC_108_MAG_00083_000000000001_7	52598.EE36_14517	0.0	1289.0	COG4664@1|root,COG4664@2|Bacteria,1R4MZ@1224|Proteobacteria,2TQNR@28211|Alphaproteobacteria,3ZVXS@60136|Sulfitobacter	28211|Alphaproteobacteria	Q	Tripartite ATP-independent periplasmic transporter, DctM component	dctM6	-	-	-	-	-	-	-	-	-	-	-	DctM
TARA_ARC_108_MAG_00083_000000000002_1	52598.EE36_11189	0.0	1988.0	COG1018@1|root,COG1600@1|root,COG1018@2|Bacteria,COG1600@2|Bacteria,1MU6E@1224|Proteobacteria,2TRE9@28211|Alphaproteobacteria,3ZUW5@60136|Sulfitobacter	28211|Alphaproteobacteria	C	4Fe-4S double cluster binding domain	-	-	-	ko:K03863	ko00627,ko01120,map00627,map01120	-	R05274	RC00392,RC01533	ko00000,ko00001	-	-	-	Dehalogenase,Fer2,Fer4_16,Fer4_7,NAD_binding_1
TARA_ARC_108_MAG_00083_000000000002_2	52598.EE36_11194	4.33e-101	294.0	COG1846@1|root,COG1846@2|Bacteria,1NDQD@1224|Proteobacteria	1224|Proteobacteria	K	helix_turn_helix multiple antibiotic resistance protein	-	-	-	-	-	-	-	-	-	-	-	-	MarR
TARA_ARC_108_MAG_00083_000000000003_1	52598.EE36_02958	2.24e-37	127.0	2DDF8@1|root,32U1B@2|Bacteria,1N2PI@1224|Proteobacteria,2UER0@28211|Alphaproteobacteria,3ZXZ1@60136|Sulfitobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00083_000000000003_2	52598.EE36_02953	3.72e-84	249.0	COG0432@1|root,COG0432@2|Bacteria,1RH13@1224|Proteobacteria,2U945@28211|Alphaproteobacteria,3ZXGV@60136|Sulfitobacter	28211|Alphaproteobacteria	S	Uncharacterised protein family UPF0047	-	-	-	-	-	-	-	-	-	-	-	-	UPF0047
TARA_ARC_108_MAG_00083_000000000003_3	52598.EE36_02948	8.65e-150	422.0	COG4221@1|root,COG4221@2|Bacteria,1MUF8@1224|Proteobacteria,2TR5S@28211|Alphaproteobacteria,3ZWFE@60136|Sulfitobacter	28211|Alphaproteobacteria	S	Enoyl-(Acyl carrier protein) reductase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short
TARA_ARC_108_MAG_00083_000000000003_4	52598.EE36_02943	1.15e-107	310.0	COG1327@1|root,COG1327@2|Bacteria,1RE7V@1224|Proteobacteria,2U75W@28211|Alphaproteobacteria,3ZX14@60136|Sulfitobacter	28211|Alphaproteobacteria	K	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes	nrdR	-	-	ko:K07738	-	-	-	-	ko00000,ko03000	-	-	-	ATP-cone
TARA_ARC_108_MAG_00083_000000000003_5	52598.EE36_02938	2.89e-236	653.0	COG0117@1|root,COG1985@1|root,COG0117@2|Bacteria,COG1985@2|Bacteria,1MUWT@1224|Proteobacteria,2TR70@28211|Alphaproteobacteria,3ZV5Q@60136|Sulfitobacter	28211|Alphaproteobacteria	H	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate	ribD	-	1.1.1.193,3.5.4.26	ko:K11752	ko00740,ko01100,ko01110,ko02024,map00740,map01100,map01110,map02024	M00125	R03458,R03459	RC00204,RC00933	ko00000,ko00001,ko00002,ko01000	-	-	-	RibD_C,dCMP_cyt_deam_1
TARA_ARC_108_MAG_00083_000000000003_6	52598.EE36_02933	0.0	1238.0	COG3563@1|root,COG3563@2|Bacteria,1MW0T@1224|Proteobacteria,2TTAJ@28211|Alphaproteobacteria,3ZW3B@60136|Sulfitobacter	28211|Alphaproteobacteria	M	Capsule polysaccharide biosynthesis protein	kpsC	-	-	ko:K07266	-	-	-	-	ko00000	-	-	-	Capsule_synth
TARA_ARC_108_MAG_00083_000000000003_7	52598.EE36_02928	3.84e-247	681.0	COG1596@1|root,COG1596@2|Bacteria,1N7GP@1224|Proteobacteria,2TS5Q@28211|Alphaproteobacteria,3ZWWH@60136|Sulfitobacter	28211|Alphaproteobacteria	M	Polysaccharide biosynthesis/export protein	-	-	-	ko:K01991	ko02026,map02026	-	-	-	ko00000,ko00001,ko02000	1.B.18	-	-	Poly_export,SLBB
TARA_ARC_108_MAG_00083_000000000003_8	52598.EE36_02923	1.89e-314	856.0	COG3562@1|root,COG3562@2|Bacteria,1MUZT@1224|Proteobacteria,2TQM3@28211|Alphaproteobacteria,3ZWUB@60136|Sulfitobacter	28211|Alphaproteobacteria	M	Capsule polysaccharide biosynthesis protein	kpsS	-	-	ko:K07265	-	-	-	-	ko00000	-	-	-	Capsule_synth
TARA_ARC_108_MAG_00083_000000000003_9	52598.EE36_02918	2e-132	377.0	COG0307@1|root,COG0307@2|Bacteria,1MUMB@1224|Proteobacteria,2U3RS@28211|Alphaproteobacteria,3ZW0M@60136|Sulfitobacter	28211|Alphaproteobacteria	H	Lumazine binding domain	ribE	GO:0003674,GO:0003824,GO:0004746,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009231,GO:0009987,GO:0016740,GO:0016765,GO:0017144,GO:0018130,GO:0034641,GO:0042364,GO:0042726,GO:0042727,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.5.1.9	ko:K00793	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R00066	RC00958,RC00960	ko00000,ko00001,ko00002,ko01000	-	-	-	Lum_binding
TARA_ARC_108_MAG_00083_000000000003_10	52598.EE36_02908	1.73e-268	735.0	COG0108@1|root,COG0807@1|root,COG0108@2|Bacteria,COG0807@2|Bacteria,1MU8P@1224|Proteobacteria,2TSMA@28211|Alphaproteobacteria,3ZVTT@60136|Sulfitobacter	28211|Alphaproteobacteria	H	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate	ribB	-	3.5.4.25,4.1.99.12	ko:K02858,ko:K14652	ko00740,ko00790,ko01100,ko01110,map00740,map00790,map01100,map01110	M00125,M00840	R00425,R07281	RC00293,RC01792,RC01815,RC02504	ko00000,ko00001,ko00002,ko01000	-	-	-	DHBP_synthase,GTP_cyclohydro2
TARA_ARC_108_MAG_00083_000000000003_11	52598.EE36_02903	8.03e-128	363.0	COG0054@1|root,COG0054@2|Bacteria,1RD9J@1224|Proteobacteria,2U9IZ@28211|Alphaproteobacteria,3ZVKG@60136|Sulfitobacter	28211|Alphaproteobacteria	H	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin	ribH	GO:0000906,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009231,GO:0009987,GO:0016740,GO:0016765,GO:0017144,GO:0018130,GO:0034641,GO:0042364,GO:0042726,GO:0042727,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.5.1.78	ko:K00794	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R04457	RC00960	ko00000,ko00001,ko00002,ko01000	-	-	-	DMRL_synthase
TARA_ARC_108_MAG_00083_000000000003_12	52598.EE36_02898	3.01e-105	304.0	COG0781@1|root,COG0781@2|Bacteria,1RHFZ@1224|Proteobacteria,2UBQA@28211|Alphaproteobacteria,3ZX5X@60136|Sulfitobacter	28211|Alphaproteobacteria	K	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons	nusB	-	-	ko:K03625	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	NusB
TARA_ARC_108_MAG_00083_000000000003_13	52598.EE36_02893	2.43e-165	464.0	COG3904@1|root,COG3904@2|Bacteria,1QG8N@1224|Proteobacteria,2U0GJ@28211|Alphaproteobacteria,3ZW86@60136|Sulfitobacter	28211|Alphaproteobacteria	S	periplasmic protein	-	-	-	-	-	-	-	-	-	-	-	-	CLP_protease
TARA_ARC_108_MAG_00083_000000000003_14	52598.EE36_02888	1.45e-270	746.0	2CFWM@1|root,2Z7PT@2|Bacteria,1MUTI@1224|Proteobacteria,2TZ7Y@28211|Alphaproteobacteria,3ZV90@60136|Sulfitobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00083_000000000003_15	52598.EE36_02883	1.83e-104	302.0	COG5321@1|root,COG5321@2|Bacteria,1RDXW@1224|Proteobacteria,2U73Y@28211|Alphaproteobacteria,3ZX6Z@60136|Sulfitobacter	28211|Alphaproteobacteria	S	DNA repair protein MmcB-like	MA20_23405	-	-	-	-	-	-	-	-	-	-	-	MmcB-like
TARA_ARC_108_MAG_00083_000000000003_16	52598.EE36_02878	6.83e-36	122.0	2E3H8@1|root,32YFX@2|Bacteria,1N7GV@1224|Proteobacteria,2UFBS@28211|Alphaproteobacteria,3ZY0J@60136|Sulfitobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00083_000000000004_1	1337093.MBE-LCI_1773	4.65e-51	171.0	2FKQ8@1|root,34CAU@2|Bacteria,1P8FI@1224|Proteobacteria,2UX81@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	T2SSN
TARA_ARC_108_MAG_00083_000000000004_2	1337093.MBE-LCI_1774	1.55e-180	515.0	COG1459@1|root,COG1459@2|Bacteria,1MV4U@1224|Proteobacteria,2TV76@28211|Alphaproteobacteria	28211|Alphaproteobacteria	NU	General secretion pathway protein F	-	-	-	ko:K02455,ko:K02653	ko03070,ko05111,map03070,map05111	M00331	-	-	ko00000,ko00001,ko00002,ko02035,ko02044	3.A.15,3.A.15.2	-	-	T2SSF
