#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
TARA_ARC_108_MAG_00212_000000000001_3	2850.Phatr42843	3.18e-19	85.9	2CV59@1|root,2RRBH@2759|Eukaryota,2XCIE@2836|Bacillariophyta	2836|Bacillariophyta	S	Anticodon-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	AD
TARA_ARC_108_MAG_00212_000000000001_4	2850.Phatr42843	1.62e-10	63.5	2CV59@1|root,2RRBH@2759|Eukaryota,2XCIE@2836|Bacillariophyta	2836|Bacillariophyta	S	Anticodon-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	AD
TARA_ARC_108_MAG_00212_000000000002_2	2850.Phatr40891	1.62e-17	88.2	2CNYN@1|root,2QYSM@2759|Eukaryota,2XGNF@2836|Bacillariophyta	2836|Bacillariophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00212_000000000002_4	2903.EOD05954	1.12e-44	161.0	COG3268@1|root,KOG2733@2759|Eukaryota	2759|Eukaryota	O	oxidoreductase activity	-	-	-	ko:K09527	-	-	-	-	ko00000,ko03110	-	-	-	Sacchrp_dh_NADP
TARA_ARC_108_MAG_00212_000000000002_5	2903.EOD05954	6.76e-19	88.6	COG3268@1|root,KOG2733@2759|Eukaryota	2759|Eukaryota	O	oxidoreductase activity	-	-	-	ko:K09527	-	-	-	-	ko00000,ko03110	-	-	-	Sacchrp_dh_NADP
TARA_ARC_108_MAG_00212_000000000002_7	35128.Thaps269961	2.75e-27	108.0	COG1358@1|root,KOG3166@2759|Eukaryota,2XBES@2836|Bacillariophyta	2836|Bacillariophyta	J	maturation of LSU-rRNA	-	-	-	ko:K02936	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03009,ko03011	-	-	-	Ribosomal_L7Ae
TARA_ARC_108_MAG_00212_000000000003_2	2850.Phatr46476	7.18e-67	241.0	2C20J@1|root,2SJCE@2759|Eukaryota,2XEXQ@2836|Bacillariophyta	2836|Bacillariophyta	S	ankyrin repeats	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00212_000000000003_3	2850.Phatr46476	7.05e-54	217.0	2C20J@1|root,2SJCE@2759|Eukaryota,2XEXQ@2836|Bacillariophyta	2836|Bacillariophyta	S	ankyrin repeats	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00212_000000000004_1	2850.Phatr44997	2.72e-23	110.0	2D1KV@1|root,2SIHS@2759|Eukaryota,2XEUD@2836|Bacillariophyta	2836|Bacillariophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00212_000000000004_4	159749.K0SDI3	1.84e-58	190.0	2CDPH@1|root,2SKWX@2759|Eukaryota,2XECQ@2836|Bacillariophyta	2836|Bacillariophyta	P	Chlorophyll A-B binding protein	-	-	-	-	-	-	-	-	-	-	-	-	Chloroa_b-bind
TARA_ARC_108_MAG_00212_000000000005_1	1828.JOKB01000032_gene3930	0.000509	48.1	2FAKM@1|root,340Q5@2|Bacteria,2I2QF@201174|Actinobacteria,4G9F6@85025|Nocardiaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00212_000000000005_2	242159.ABO99432	1.43e-101	319.0	COG0523@1|root,KOG2743@2759|Eukaryota,37Z7K@33090|Viridiplantae,34P3T@3041|Chlorophyta	33090|Viridiplantae	H	Cobalamin synthesis protein cobW C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	CobW_C,cobW
