## Tue Jul 25 18:48:53 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p00n6gy4 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p00n6gy4 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_p00n6gy4/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
TARA_ARC_108_MAG_00117_000000000001_2	1380367.JIBC01000010_gene3597	7.19e-87	261.0	COG0741@1|root,COG0741@2|Bacteria,1MZ4X@1224|Proteobacteria,2U5GT@28211|Alphaproteobacteria,3ZW6R@60136|Sulfitobacter	28211|Alphaproteobacteria	M	Transglycosylase SLT domain	-	-	-	-	-	-	-	-	-	-	-	-	SLT
TARA_ARC_108_MAG_00117_000000000001_3	1305735.JAFT01000005_gene3092	3.28e-86	257.0	COG0629@1|root,COG0629@2|Bacteria,1RCWT@1224|Proteobacteria,2U5BZ@28211|Alphaproteobacteria,2PCHY@252301|Oceanicola	28211|Alphaproteobacteria	L	Plays an important role in DNA replication, recombination and repair. Binds to ssDNA and to an array of partner proteins to recruit them to their sites of action during DNA metabolism	ssb	GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0031668,GO:0033554,GO:0050896,GO:0051716,GO:0071496	-	ko:K03111	ko03030,ko03430,ko03440,map03030,map03430,map03440	-	-	-	ko00000,ko00001,ko03029,ko03032,ko03400	-	-	-	SSB
TARA_ARC_108_MAG_00117_000000000001_4	1305735.JAFT01000005_gene3381	1.55e-198	558.0	COG0337@1|root,COG0337@2|Bacteria,1MUBK@1224|Proteobacteria,2TRDA@28211|Alphaproteobacteria,2PDUZ@252301|Oceanicola	28211|Alphaproteobacteria	E	Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)	aroB	-	2.7.1.71,4.2.3.4	ko:K01735,ko:K13829	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02412,R03083	RC00002,RC00078,RC00847	ko00000,ko00001,ko00002,ko01000	-	-	-	DHQ_synthase,SKI
TARA_ARC_108_MAG_00117_000000000001_5	83219.PM02_08905	1.84e-84	254.0	COG0703@1|root,COG0703@2|Bacteria,1MUFJ@1224|Proteobacteria,2U76C@28211|Alphaproteobacteria,3ZV65@60136|Sulfitobacter	28211|Alphaproteobacteria	E	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	aroK	GO:0000287,GO:0003674,GO:0003824,GO:0004765,GO:0005488,GO:0006082,GO:0006520,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019438,GO:0019632,GO:0019752,GO:0032787,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046872,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901615	2.7.1.71	ko:K00891	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02412	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	SKI
TARA_ARC_108_MAG_00117_000000000001_6	467661.RKLH11_2423	2.25e-18	76.6	2EHRS@1|root,33BHI@2|Bacteria,1NGHV@1224|Proteobacteria,2UK22@28211|Alphaproteobacteria,3ZIN1@58840|unclassified Rhodobacteraceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00117_000000000001_7	1402135.SUH3_05225	1.73e-156	462.0	28HN0@1|root,2Z7WE@2|Bacteria,1MXRK@1224|Proteobacteria,2TUQS@28211|Alphaproteobacteria,3ZWIG@60136|Sulfitobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00117_000000000001_8	999549.KI421513_gene3286	5.39e-169	478.0	COG4974@1|root,COG4974@2|Bacteria,1MVNF@1224|Proteobacteria,2TRAA@28211|Alphaproteobacteria,2817M@191028|Leisingera	28211|Alphaproteobacteria	L	Phage integrase, N-terminal SAM-like domain	xerD	-	-	ko:K04763	-	-	-	-	ko00000,ko03036	-	-	-	Phage_int_SAM_1,Phage_integrase
TARA_ARC_108_MAG_00117_000000000001_9	1300350.DSW25_14690	4.1e-118	346.0	COG0639@1|root,COG0639@2|Bacteria,1PXN4@1224|Proteobacteria,2U09R@28211|Alphaproteobacteria,3ZX38@60136|Sulfitobacter	28211|Alphaproteobacteria	T	Diadenosine tetraphosphatase	-	-	-	-	-	-	-	-	-	-	-	-	Metallophos_2
TARA_ARC_108_MAG_00117_000000000001_10	1402135.SUH3_05235	1.51e-229	642.0	COG4536@1|root,COG4536@2|Bacteria,1NZ99@1224|Proteobacteria,2TVZH@28211|Alphaproteobacteria,3ZUTG@60136|Sulfitobacter	28211|Alphaproteobacteria	P	Domain of unknown function DUF21	corB	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K03699	-	-	-	-	ko00000,ko02042	-	-	-	CBS,CorC_HlyC,DUF21
TARA_ARC_108_MAG_00117_000000000001_12	716544.wcw_0621	6.65e-16	77.0	COG2732@1|root,COG2732@2|Bacteria	2|Bacteria	K	(Barnase) inhibitor	-	-	-	-	-	-	-	-	-	-	-	-	Barstar
