## Wed Jul 12 14:30:08 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_5wm1vpu7 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_5wm1vpu7 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_5wm1vpu7/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
TARA_ARC_108_MAG_00201_000000000001_1	1336803.PHEL49_2541	5.53e-83	247.0	COG1846@1|root,COG1846@2|Bacteria,4NQ5T@976|Bacteroidetes,1I2YC@117743|Flavobacteriia,3VWFV@52959|Polaribacter	976|Bacteroidetes	K	helix_turn_helix multiple antibiotic resistance protein	-	-	-	-	-	-	-	-	-	-	-	-	MarR
TARA_ARC_108_MAG_00201_000000000001_2	1250006.JHZZ01000001_gene119	3.43e-182	509.0	COG1741@1|root,COG1741@2|Bacteria,4NFZD@976|Bacteroidetes,1HXX4@117743|Flavobacteriia,3VV8D@52959|Polaribacter	976|Bacteroidetes	S	Pirin C-terminal cupin domain	-	-	-	ko:K06911	-	-	-	-	ko00000	-	-	-	Pirin,Pirin_C
TARA_ARC_108_MAG_00201_000000000001_3	1250006.JHZZ01000001_gene118	8.86e-135	385.0	COG1741@1|root,COG1741@2|Bacteria,4NGJ5@976|Bacteroidetes,1HYY2@117743|Flavobacteriia,3VW9Q@52959|Polaribacter	976|Bacteroidetes	S	Pirin	yhhW	-	-	ko:K06911	-	-	-	-	ko00000	-	-	-	Pirin
TARA_ARC_108_MAG_00201_000000000001_4	1250005.PHEL85_2706	0.0	1217.0	COG0446@1|root,COG1902@1|root,COG0446@2|Bacteria,COG1902@2|Bacteria,4NF98@976|Bacteroidetes,1I0RT@117743|Flavobacteriia,3VW0P@52959|Polaribacter	976|Bacteroidetes	C	NADH:flavin oxidoreductase / NADH oxidase family	-	-	1.3.1.34	ko:K00219	-	-	-	-	ko00000,ko01000	-	-	-	Oxidored_FMN,Pyr_redox_2
TARA_ARC_108_MAG_00201_000000000001_5	1336803.PHEL49_2545	1.32e-146	423.0	COG1044@1|root,COG1044@2|Bacteria,4NH6I@976|Bacteroidetes,1HXDW@117743|Flavobacteriia,3VWXT@52959|Polaribacter	976|Bacteroidetes	M	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD	-	-	2.3.1.191	ko:K02536	ko00540,ko01100,map00540,map01100	M00060	R04550	RC00039,RC00166	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	Hexapep,Hexapep_2,LpxD
TARA_ARC_108_MAG_00201_000000000001_6	313594.PI23P_00215	1.94e-33	115.0	2E4WC@1|root,32ZQG@2|Bacteria,4NUNE@976|Bacteroidetes,1I503@117743|Flavobacteriia,3VWTY@52959|Polaribacter	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00201_000000000001_7	313594.PI23P_00210	0.0	1081.0	COG0488@1|root,COG0488@2|Bacteria,4NES5@976|Bacteroidetes,1HXQY@117743|Flavobacteriia,3VV8I@52959|Polaribacter	976|Bacteroidetes	S	ABC transporter	-	-	-	-	-	-	-	-	-	-	-	-	ABC_tran,ABC_tran_Xtn
TARA_ARC_108_MAG_00201_000000000001_8	313598.MED152_04410	5.45e-75	239.0	2DH3V@1|root,2ZYAH@2|Bacteria,4NNGU@976|Bacteroidetes,1I35W@117743|Flavobacteriia,3VVJQ@52959|Polaribacter	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00201_000000000001_9	1336803.PHEL49_2551	4.76e-36	123.0	295DD@1|root,2ZSR9@2|Bacteria,4P8J6@976|Bacteroidetes,1IBSX@117743|Flavobacteriia,3VWV9@52959|Polaribacter	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00201_000000000001_10	1250005.PHEL85_2733	3.69e-156	442.0	COG2103@1|root,COG2103@2|Bacteria,4NEPY@976|Bacteroidetes,1HXU4@117743|Flavobacteriia,3VVNS@52959|Polaribacter	976|Bacteroidetes	G	Specifically catalyzes the cleavage of the D-lactyl ether substituent of MurNAc 6-phosphate, producing GlcNAc 6- phosphate and D-lactate	murQ	-	4.2.1.126	ko:K07106	ko00520,ko01100,map00520,map01100	-	R08555	RC00397,RC00746	ko00000,ko00001,ko01000	-	-	-	SIS
