## Tue Jul 25 18:57:49 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_rt3iyzz6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_rt3iyzz6 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_rt3iyzz6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
TARA_ARC_108_MAG_00139_000000000001_1	1300350.DSW25_02625	5.66e-138	394.0	COG0657@1|root,COG0657@2|Bacteria,1MV3J@1224|Proteobacteria,2TUQ3@28211|Alphaproteobacteria,3ZV7Y@60136|Sulfitobacter	28211|Alphaproteobacteria	I	alpha/beta hydrolase fold	-	-	3.5.1.9	ko:K01432	ko00380,ko00630,ko01100,map00380,map00630,map01100	M00038	R00988,R01959,R04911	RC00263,RC00323	ko00000,ko00001,ko00002,ko01000	-	-	-	Abhydrolase_3,Abhydrolase_6
TARA_ARC_108_MAG_00139_000000000001_2	1300350.DSW25_02630	5.4e-209	583.0	28H8N@1|root,2Z7KG@2|Bacteria,1NM36@1224|Proteobacteria,2TT3M@28211|Alphaproteobacteria,3ZVT9@60136|Sulfitobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00139_000000000001_3	1300350.DSW25_02640	1.31e-246	679.0	28IST@1|root,2Z8RX@2|Bacteria,1QTQA@1224|Proteobacteria,2TV21@28211|Alphaproteobacteria,3ZUX3@60136|Sulfitobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00139_000000000001_5	1300350.DSW25_02645	3.34e-80	255.0	COG0464@1|root,COG0464@2|Bacteria,1MV3E@1224|Proteobacteria,2TTAE@28211|Alphaproteobacteria,3ZW69@60136|Sulfitobacter	28211|Alphaproteobacteria	O	ATPase family associated with various cellular activities (AAA)	-	-	-	-	-	-	-	-	-	-	-	-	AAA
TARA_ARC_108_MAG_00139_000000000002_2	1300350.DSW25_14135	3.36e-207	578.0	2CJVZ@1|root,2Z84M@2|Bacteria,1MVJ0@1224|Proteobacteria,2TTJI@28211|Alphaproteobacteria,3ZW7F@60136|Sulfitobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00139_000000000002_3	1443111.JASG01000004_gene2627	1.87e-66	206.0	2CVQU@1|root,32SY1@2|Bacteria,1N5W8@1224|Proteobacteria,2UDHB@28211|Alphaproteobacteria,3ZY6P@60136|Sulfitobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00139_000000000002_4	1443111.JASG01000004_gene2628	0.0	1058.0	COG0303@1|root,COG0303@2|Bacteria,1MVD5@1224|Proteobacteria,2TQRI@28211|Alphaproteobacteria,3ZWYM@60136|Sulfitobacter	28211|Alphaproteobacteria	H	MoeA C-terminal region (domain IV)	moeA	-	2.10.1.1	ko:K03750	ko00790,ko01100,map00790,map01100	-	R09735	RC03462	ko00000,ko00001,ko01000	-	-	-	MoCF_biosynth,MoeA_C,MoeA_N
TARA_ARC_108_MAG_00139_000000000002_5	1300350.DSW25_14125	2.43e-97	285.0	COG1763@1|root,COG1763@2|Bacteria,1RD3Q@1224|Proteobacteria,2U5T0@28211|Alphaproteobacteria,3ZX56@60136|Sulfitobacter	28211|Alphaproteobacteria	H	Molybdopterin-guanine dinucleotide biosynthesis	mobB	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0005488,GO:0005525,GO:0017076,GO:0019001,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363	-	ko:K03753	-	-	-	-	ko00000	-	-	-	MobB
TARA_ARC_108_MAG_00139_000000000002_6	1443111.JASG01000004_gene2630	8.67e-125	357.0	COG0746@1|root,COG0746@2|Bacteria,1RH3M@1224|Proteobacteria,2TV2G@28211|Alphaproteobacteria,3ZWQM@60136|Sulfitobacter	28211|Alphaproteobacteria	H	Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo- MPT) cofactor (Moco or molybdenum cofactor) to form Mo- molybdopterin guanine dinucleotide (Mo-MGD) cofactor	mobA	-	2.7.7.77	ko:K03752	ko00790,ko01100,map00790,map01100	-	R11581	-	ko00000,ko00001,ko01000	-	-	-	NTP_transf_3
TARA_ARC_108_MAG_00139_000000000002_8	1300350.DSW25_14105	2.33e-187	523.0	COG1526@1|root,COG1526@2|Bacteria,1MY28@1224|Proteobacteria,2VFYH@28211|Alphaproteobacteria,3ZX1U@60136|Sulfitobacter	28211|Alphaproteobacteria	C	Required for formate dehydrogenase (FDH) activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH	fdhD	-	-	ko:K02379	-	-	-	-	ko00000	-	-	-	FdhD-NarQ
