## Wed Jul 12 14:11:27 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dq4unpym --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dq4unpym --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_dq4unpym/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
TARA_ARC_108_MAG_00174_000000000001_2	1122197.ATWI01000008_gene3350	5.72e-77	231.0	COG1516@1|root,COG1516@2|Bacteria,1MZ3G@1224|Proteobacteria,1S8TQ@1236|Gammaproteobacteria,4689S@72275|Alteromonadaceae	1236|Gammaproteobacteria	N	flagellar protein FliS	fliS	-	-	ko:K02422	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035	-	-	-	FliS
TARA_ARC_108_MAG_00174_000000000001_3	1415754.JQMK01000012_gene1284	2.23e-313	872.0	COG1345@1|root,COG1345@2|Bacteria,1MUVP@1224|Proteobacteria,1RS2S@1236|Gammaproteobacteria,4661Y@72275|Alteromonadaceae	1236|Gammaproteobacteria	N	Required for morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end	fliD	-	-	ko:K02407	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flagellin_IN,FliD_C,FliD_N
TARA_ARC_108_MAG_00174_000000000001_4	225937.HP15_2370	5.27e-76	229.0	COG1334@1|root,COG1334@2|Bacteria,1NH9T@1224|Proteobacteria,1SH7I@1236|Gammaproteobacteria,468X0@72275|Alteromonadaceae	1236|Gammaproteobacteria	N	flagellar protein FlaG	flaG	-	-	ko:K06603	-	-	-	-	ko00000,ko02035	-	-	-	FlaG
TARA_ARC_108_MAG_00174_000000000001_5	1122197.ATWI01000008_gene3347	2.27e-178	516.0	COG1344@1|root,COG1344@2|Bacteria,1MV1N@1224|Proteobacteria,1RN0Y@1236|Gammaproteobacteria,464FC@72275|Alteromonadaceae	1236|Gammaproteobacteria	N	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	fliC	-	-	ko:K02406	ko02020,ko02040,ko04621,ko04626,ko05132,ko05134,map02020,map02040,map04621,map04626,map05132,map05134	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flagellin_C,Flagellin_IN,Flagellin_N
TARA_ARC_108_MAG_00174_000000000001_6	225937.HP15_2372	2.07e-200	582.0	COG1344@1|root,COG1344@2|Bacteria,1MV1N@1224|Proteobacteria,1RN0Y@1236|Gammaproteobacteria,464FC@72275|Alteromonadaceae	1236|Gammaproteobacteria	N	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	fliC	-	-	ko:K02406	ko02020,ko02040,ko04621,ko04626,ko05132,ko05134,map02020,map02040,map04621,map04626,map05132,map05134	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flagellin_C,Flagellin_IN,Flagellin_N
TARA_ARC_108_MAG_00174_000000000001_7	1396858.Q666_04445	1.71e-48	155.0	COG3668@1|root,COG3668@2|Bacteria,1N9GA@1224|Proteobacteria	1224|Proteobacteria	S	Plasmid stabilization system protein	-	-	-	ko:K19092	-	-	-	-	ko00000,ko02048	-	-	-	ParE_toxin
TARA_ARC_108_MAG_00174_000000000001_8	1396858.Q666_04440	3.1e-41	137.0	COG3609@1|root,COG3609@2|Bacteria,1N7IM@1224|Proteobacteria,1SEQZ@1236|Gammaproteobacteria,468SP@72275|Alteromonadaceae	1236|Gammaproteobacteria	K	Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH	-	-	-	ko:K07746	-	-	-	-	ko00000,ko02048	-	-	-	ParD_antitoxin
TARA_ARC_108_MAG_00174_000000000001_9	225937.HP15_2374	5.64e-221	625.0	COG0457@1|root,COG0457@2|Bacteria,1MVMG@1224|Proteobacteria,1RQMS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	H	FOG TPR repeat	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_25,Methyltransf_31,TPR_1,TPR_11,TPR_12,TPR_16,TPR_8
TARA_ARC_108_MAG_00174_000000000002_1	225937.HP15_2576	1.12e-289	798.0	COG1960@1|root,COG1960@2|Bacteria,1MU20@1224|Proteobacteria,1RPHJ@1236|Gammaproteobacteria,464JR@72275|Alteromonadaceae	1236|Gammaproteobacteria	I	COG1960 Acyl-CoA dehydrogenases	bcd	-	1.3.8.1	ko:K00248	ko00071,ko00280,ko00650,ko01100,ko01110,ko01120,ko01200,ko01212,map00071,map00280,map00650,map01100,map01110,map01120,map01200,map01212	-	R01175,R01178,R02661,R03172,R04751	RC00052,RC00068,RC00076,RC00120,RC00148	ko00000,ko00001,ko01000	-	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_C,Acyl-CoA_dh_M,Acyl-CoA_dh_N,AcylCoA_DH_N
TARA_ARC_108_MAG_00174_000000000002_2	225937.HP15_2575	9.35e-184	511.0	COG1024@1|root,COG1024@2|Bacteria,1R3Q4@1224|Proteobacteria,1RQ45@1236|Gammaproteobacteria,46CP5@72275|Alteromonadaceae	1236|Gammaproteobacteria	I	enoyl-CoA hydratase	-	-	-	-	-	-	-	-	-	-	-	-	ECH_1
TARA_ARC_108_MAG_00174_000000000002_3	225937.HP15_2574	2.1e-307	837.0	COG3239@1|root,COG3239@2|Bacteria,1MW29@1224|Proteobacteria,1RPHS@1236|Gammaproteobacteria,46AIU@72275|Alteromonadaceae	1236|Gammaproteobacteria	I	Fatty acid desaturase	-	-	1.14.15.3	ko:K00496	ko00071,ko00930,map00071,map00930	-	R01347,R02281,R06945	RC00478	ko00000,ko00001,ko01000	-	-	-	FA_desaturase,Rubredoxin
TARA_ARC_108_MAG_00174_000000000002_4	225937.HP15_2573	3.81e-47	152.0	COG4568@1|root,COG4568@2|Bacteria,1NKDC@1224|Proteobacteria,1SUMY@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	rho-dependent transcription termination	-	-	-	ko:K19000	-	-	-	-	ko00000,ko03021	-	-	-	-
TARA_ARC_108_MAG_00174_000000000002_5	225937.HP15_2572	7.55e-12	63.5	2EGUY@1|root,33AM4@2|Bacteria,1NGGE@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00174_000000000002_6	225937.HP15_2571	0.0	1309.0	COG3211@1|root,COG3211@2|Bacteria,1MU8T@1224|Proteobacteria,1RMIU@1236|Gammaproteobacteria,464FZ@72275|Alteromonadaceae	1236|Gammaproteobacteria	S	Bacterial protein of unknown function (DUF839)	-	-	-	ko:K07093	-	-	-	-	ko00000	-	-	-	DUF839
TARA_ARC_108_MAG_00174_000000000002_7	225937.HP15_2570	0.0	883.0	COG0840@1|root,COG0840@2|Bacteria,1NJXF@1224|Proteobacteria,1RQXQ@1236|Gammaproteobacteria,46434@72275|Alteromonadaceae	1236|Gammaproteobacteria	NT	COG0840 Methyl-accepting chemotaxis protein	tar	-	-	ko:K03406,ko:K05875	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	MCPsignal
TARA_ARC_108_MAG_00174_000000000002_8	1479237.JMLY01000001_gene3157	3.12e-73	220.0	COG3671@1|root,COG3671@2|Bacteria,1MZMW@1224|Proteobacteria,1T0MX@1236|Gammaproteobacteria,468NN@72275|Alteromonadaceae	1236|Gammaproteobacteria	S	Membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
TARA_ARC_108_MAG_00174_000000000002_9	225937.HP15_2568	4.34e-271	747.0	COG0477@1|root,COG2814@2|Bacteria,1N2NP@1224|Proteobacteria,1RP1Y@1236|Gammaproteobacteria,4664N@72275|Alteromonadaceae	1236|Gammaproteobacteria	EGP	Major facilitator superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
TARA_ARC_108_MAG_00174_000000000002_10	225937.HP15_2563	1.86e-181	507.0	COG2961@1|root,COG2961@2|Bacteria,1MWGA@1224|Proteobacteria,1RNI1@1236|Gammaproteobacteria,466GS@72275|Alteromonadaceae	1236|Gammaproteobacteria	S	Specifically methylates the adenine in position 2030 of 23S rRNA	rlmJ	-	2.1.1.266	ko:K07115	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	RsmJ
TARA_ARC_108_MAG_00174_000000000002_11	225937.HP15_2560	2.91e-227	630.0	COG1638@1|root,COG1638@2|Bacteria	2|Bacteria	G	carbohydrate transport	-	-	-	-	-	-	-	-	-	-	-	-	DctP
TARA_ARC_108_MAG_00174_000000000002_12	225937.HP15_2559	1.58e-209	580.0	COG0697@1|root,COG0697@2|Bacteria,1QSKQ@1224|Proteobacteria,1RYG1@1236|Gammaproteobacteria,466BE@72275|Alteromonadaceae	1236|Gammaproteobacteria	EG	COG0697 Permeases of the drug metabolite transporter (DMT) superfamily	-	-	-	ko:K07052	-	-	-	-	ko00000	-	-	-	EamA
TARA_ARC_108_MAG_00174_000000000002_13	225937.HP15_2558	1.91e-54	170.0	COG2827@1|root,COG2827@2|Bacteria,1N6PA@1224|Proteobacteria,1SCBH@1236|Gammaproteobacteria,468FM@72275|Alteromonadaceae	1236|Gammaproteobacteria	L	GIY-YIG catalytic domain	yhbQ	GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004527,GO:0004529,GO:0004536,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008296,GO:0008408,GO:0009987,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360	-	ko:K07461	-	-	-	-	ko00000	-	-	-	GIY-YIG
TARA_ARC_108_MAG_00174_000000000002_14	225937.HP15_2557	1.52e-189	529.0	COG0657@1|root,COG0657@2|Bacteria,1RD8A@1224|Proteobacteria,1S3TH@1236|Gammaproteobacteria,4687P@72275|Alteromonadaceae	1236|Gammaproteobacteria	I	COG0657 Esterase lipase	-	-	3.1.1.83	ko:K14731	ko00903,ko00930,ko01220,map00903,map00930,map01220	-	R03751,R06390,R06391,R06392,R06393	RC00713,RC00983,RC01505	ko00000,ko00001,ko01000	-	-	-	Abhydrolase_3
TARA_ARC_108_MAG_00174_000000000002_15	225937.HP15_2556	1.71e-237	653.0	COG2267@1|root,COG2267@2|Bacteria,1RAQZ@1224|Proteobacteria,1S2YX@1236|Gammaproteobacteria,467BE@72275|Alteromonadaceae	1236|Gammaproteobacteria	I	Serine aminopeptidase, S33	pldB	-	3.1.1.5	ko:K01048	ko00564,map00564	-	-	-	ko00000,ko00001,ko01000	-	-	-	Hydrolase_4
TARA_ARC_108_MAG_00174_000000000002_16	225937.HP15_2555	1.15e-131	376.0	COG2885@1|root,COG2885@2|Bacteria,1MYBP@1224|Proteobacteria,1RVRF@1236|Gammaproteobacteria,464H3@72275|Alteromonadaceae	1236|Gammaproteobacteria	M	Belongs to the ompA family	yiaD	-	-	ko:K12216	-	-	-	-	ko00000,ko02044	3.A.7.9.1	-	-	Gly-zipper_Omp,Gly-zipper_YMGG,OmpA
TARA_ARC_108_MAG_00174_000000000002_17	225937.HP15_2554	2.46e-288	788.0	COG0111@1|root,COG0111@2|Bacteria,1MU5Z@1224|Proteobacteria,1RPEY@1236|Gammaproteobacteria,464BH@72275|Alteromonadaceae	1236|Gammaproteobacteria	EH	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family	serA	GO:0003674,GO:0003824,GO:0004617,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006563,GO:0006564,GO:0006807,GO:0008150,GO:0008152,GO:0008219,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009987,GO:0012501,GO:0016053,GO:0016491,GO:0016597,GO:0016614,GO:0016616,GO:0019752,GO:0031406,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0047545,GO:0055114,GO:0070905,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.1.1.399,1.1.1.95	ko:K00058	ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230	M00020	R01513	RC00031	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	iYL1228.KPN_03348	2-Hacid_dh,2-Hacid_dh_C,ACT
